model,localization,patch_site,N,topk,w_rf
gemma-3-12b-it,verse-single,o_proj_out,2,0.09,0.04
gemma-3-12b-it,verse-single,o_proj_out,2,0.1,0.06
gemma-3-12b-it,verse-single,o_proj_out,2,0.5,0.88
gemma-3-12b-it,verse-single,o_proj_out,2,1.0,0.8
gemma-3-12b-it,verse-single,o_proj_out,4,0.01,0.04
gemma-3-12b-it,verse-single,o_proj_out,4,0.03,0.1
gemma-3-12b-it,verse-single,o_proj_out,4,0.05,0.06
gemma-3-12b-it,verse-single,o_proj_out,4,0.07,0.06
gemma-3-12b-it,verse-single,o_proj_out,4,0.09,0.12
gemma-3-12b-it,verse-single,o_proj_out,4,0.1,0.1
gemma-3-12b-it,verse-single,o_proj_out,4,0.5,0.66
gemma-3-12b-it,verse-single,o_proj_out,4,1.0,0.76
gemma-3-12b-it,verse-single,o_proj_out,5,0.01,0.08
gemma-3-12b-it,verse-single,o_proj_out,5,0.03,0.06
gemma-3-12b-it,verse-single,o_proj_out,5,0.05,0.1
gemma-3-12b-it,verse-single,o_proj_out,5,0.07,0.1
gemma-3-12b-it,verse-single,o_proj_out,5,0.09,0.08
gemma-3-12b-it,verse-single,o_proj_out,5,0.1,0.1
gemma-3-12b-it,verse-single,o_proj_out,5,0.5,0.32
gemma-3-12b-it,verse-single,o_proj_out,5,1.0,0.78
gemma-3-12b-it,verse-single,o_proj_out,6,0.01,0.04
gemma-3-12b-it,verse-single,o_proj_out,6,0.03,0.04
gemma-3-12b-it,verse-single,o_proj_out,6,0.05,0.06
gemma-3-12b-it,verse-single,o_proj_out,6,0.07,0.06
gemma-3-12b-it,verse-single,o_proj_out,6,0.09,0.12
gemma-3-12b-it,verse-single,o_proj_out,6,0.1,0.12
gemma-3-12b-it,verse-single,o_proj_out,6,0.5,0.36
gemma-3-12b-it,verse-single,o_proj_out,6,1.0,0.3
gemma-3-12b-it,verse-single,o_proj_out,8,0.01,0.06
gemma-3-12b-it,verse-single,o_proj_out,8,0.03,0.02
gemma-3-12b-it,verse-single,o_proj_out,8,0.05,0.04
gemma-3-12b-it,verse-single,o_proj_out,8,0.07,0.2
gemma-3-12b-it,verse-single,o_proj_out,8,0.09,0.24
gemma-3-12b-it,verse-single,o_proj_out,8,0.1,0.34
gemma-3-12b-it,verse-single,o_proj_out,8,0.5,0.38
gemma-3-12b-it,verse-single,o_proj_out,8,1.0,0.1
gemma-3-12b-it,verse-single,o_proj_out,10,0.01,0.06
gemma-3-12b-it,verse-single,o_proj_out,10,0.03,0.08
gemma-3-12b-it,verse-single,o_proj_out,10,0.05,0.12
gemma-3-12b-it,verse-single,o_proj_out,10,0.07,0.2
gemma-3-12b-it,verse-single,o_proj_out,10,0.09,0.5
gemma-3-12b-it,verse-single,o_proj_out,10,0.1,0.44
gemma-3-12b-it,verse-single,o_proj_out,10,0.5,0.2
gemma-3-12b-it,verse-single,o_proj_out,10,1.0,0.04
